trimestre,USER_ID,device_0,device_1
4,0,0,112
4,1,9,50
4,2,19,55
4,3,5,52
4,4,46,2
4,5,0,210
4,6,0,54
4,7,1,70
4,8,0,66
4,9,158,26
4,10,0,5
4,11,0,62
4,12,7,194
4,13,0,62
4,14,0,50
4,15,18,0
4,16,34,97
4,17,12,43
4,18,0,6
4,19,0,21
4,20,0,171
4,21,12,30
4,22,0,225
4,23,0,16
4,24,274,41
4,25,0,72
4,26,13,158
4,27,0,45
4,28,0,43
4,29,0,39
4,30,35,1
4,31,7,61
4,32,1,157
4,33,0,92
4,34,0,37
4,35,0,212
4,36,0,91
4,37,0,109
4,38,3,183
4,39,0,40
4,40,0,35
4,41,2,60
4,42,0,12
4,43,8,5
4,44,14,27
4,45,0,214
4,46,19,71
4,47,0,156
4,48,1,38
4,49,3,64
4,50,0,131
4,51,0,52
4,52,9,65
4,53,15,148
4,54,1,27
4,55,0,40
4,56,5,69
4,57,1,16
4,58,14,274
4,59,5,10
4,60,0,75
4,61,6,66
4,62,64,32
4,63,6,149
4,64,19,111
4,65,0,69
4,66,0,72
4,67,0,18
4,68,24,56
4,69,2,93
4,70,14,60
4,71,0,63
4,73,0,324
4,74,22,12
4,75,9,37
4,76,23,61
4,77,0,232
4,78,0,52
4,79,0,14
4,80,0,31
4,81,0,109
4,82,1,134
4,83,45,32
4,84,0,75
4,85,0,12
4,86,1,63
4,87,18,76
4,88,10,89
4,89,17,35
4,90,1,22
4,91,0,24
4,92,0,29
4,93,4,20
4,94,1,32
4,95,0,121
4,96,2,368
4,97,0,22
4,98,0,217
4,100,201,3
4,101,21,134
4,102,0,102
4,103,1,154
4,104,2,284
4,105,0,83
4,106,0,88
4,107,10,102
4,108,18,10
4,109,0,40
4,110,0,68
4,111,20,49
4,112,0,28
4,113,0,203
4,114,50,60
4,115,8,113
4,116,0,15
4,117,4,30
4,118,0,141
4,119,1,96
4,120,33,75
4,121,45,42
4,122,0,19
4,123,103,0
4,124,5,38
4,125,0,58
4,126,0,66
4,127,0,133
4,128,0,14
4,129,0,26
4,130,70,91
4,131,8,25
4,132,18,151
4,134,0,115
4,135,0,34
4,136,2,245
4,137,0,27
4,138,0,14
4,139,0,17
4,140,0,80
4,141,0,16
4,142,5,124
4,143,2,64
4,144,1,91
4,145,8,70
4,146,0,46
4,147,1,50
4,148,0,223
4,149,39,131
4,150,0,36
4,151,0,32
4,152,12,41
4,153,0,52
4,154,0,3
4,155,270,96
4,156,0,119
4,157,1,107
4,158,66,0
4,159,10,91
4,160,0,41
4,161,1,30
4,162,0,53
4,163,2,23
4,164,102,1
4,165,1,21
4,166,0,48
4,167,0,66
4,168,10,0
4,169,0,135
4,170,12,359
4,171,15,0
4,172,14,15
4,173,5,70
4,175,0,16
4,176,0,122
4,177,11,58
4,178,3,21
4,179,0,199
4,180,14,244
4,181,0,164
4,182,1,48
4,183,3,85
4,184,3,33
4,185,3,58
4,186,144,22
4,187,0,117
4,188,13,49
4,189,0,91
4,190,0,43
4,191,0,13
4,192,0,45
4,193,20,34
4,194,0,196
4,195,0,68
4,196,0,37
4,197,0,6
4,198,7,1
4,199,3,41
4,200,0,22
4,201,0,3
4,202,2,55
4,203,4,119
4,204,8,5
4,205,0,21
4,206,0,69
4,207,0,21
4,208,2,33
4,209,6,47
4,210,1,106
4,211,0,22
4,212,0,22
4,213,0,35
4,214,1,102
4,215,10,94
4,216,317,289
4,217,4,182
4,218,2,24
4,219,12,115
4,220,4,21
4,221,168,12
4,222,0,73
4,223,6,40
4,224,1,9
4,225,7,41
4,226,0,37
4,227,76,0
4,228,0,63
4,229,0,84
4,230,3,54
4,231,1,7
4,232,3,87
4,233,0,3
4,234,1,79
4,235,10,20
4,236,0,10
4,237,0,271
4,238,0,437
4,239,0,40
4,240,1,40
4,241,3,168
4,242,0,29
4,243,1,24
4,244,12,69
4,245,0,121
4,246,0,63
4,247,0,33
4,248,0,40
4,249,15,0
4,250,36,0
4,251,0,76
4,252,0,37
4,253,1,0
4,254,4,106
4,255,0,2
4,256,2,21
4,257,11,0
4,258,30,60
4,260,0,12
4,261,5,45
4,262,157,23
4,263,106,36
4,264,2,82
4,265,31,33
4,266,14,36
4,267,1,32
4,268,0,115
4,269,0,125
4,270,152,0
4,271,22,91
4,272,108,70
4,273,9,197
4,274,0,28
4,275,0,17
4,276,0,74
4,277,2,47
4,278,5,34
4,279,0,4
4,280,0,26
4,281,50,7
4,284,0,28
4,285,6,1
4,286,0,121
4,287,0,131
4,288,0,12
4,289,0,21
4,290,5,98
4,291,0,42
4,292,35,133
4,293,90,44
4,294,0,74
4,295,1,36
4,296,1,17
4,297,5,45
4,298,0,2
4,299,10,78
4,300,77,0
4,301,7,107
4,302,3,74
4,303,0,12
4,304,5,153
4,305,0,44
4,306,42,1
4,307,2,29
4,308,10,90
4,309,3,103
4,310,5,11
4,311,12,124
4,312,0,20
4,313,0,46
4,315,0,125
4,316,15,76
4,317,0,77
4,318,0,30
4,319,1,25
4,320,9,38
4,321,1,1
4,322,0,14
4,323,14,30
4,324,15,24
4,325,0,9
4,327,0,10
4,329,4,53
4,330,36,0
4,331,25,1
4,332,59,93
4,333,1,2
4,334,1,89
4,335,237,1
4,336,3,21
4,337,6,8
4,338,6,12
4,340,2,112
4,341,1,176
4,342,6,178
4,343,0,15
4,344,9,2
4,345,16,0
4,346,10,36
4,348,1,0
4,349,0,61
4,350,1,142
4,351,1,34
4,352,6,4
4,353,28,17
4,354,154,8
4,355,1,29
4,356,40,88
4,357,2,91
4,358,7,53
4,359,1,77
4,360,12,94
4,361,105,124
4,362,126,47
4,363,0,200
4,364,0,6
4,365,66,85
4,366,0,402
4,367,9,69
4,368,33,0
4,369,13,0
4,370,1,28
4,371,14,91
4,372,2,87
4,373,0,115
4,374,58,20
4,375,53,309
4,377,86,218
4,378,0,40
4,379,0,50
4,380,0,14
4,381,28,4
4,382,9,118
4,384,10,63
4,385,0,217
4,386,109,0
4,387,47,164
4,388,93,10
4,389,0,4
4,390,100,17
4,391,0,4
4,392,11,52
4,393,6,0
4,394,0,10
4,395,16,0
4,396,0,11
4,397,10,35
4,398,16,0
4,399,0,5
4,400,7,202
4,401,1,1
4,402,6,84
4,403,3,2
4,404,3,113
4,405,0,1
4,406,4,243
4,407,4,11
4,408,26,90
4,409,9,20
4,410,0,8
4,411,52,74
4,412,0,6
4,414,0,4
4,415,4,14
4,416,5,49
4,417,1,7
4,418,0,23
4,419,8,137
4,420,8,18
4,421,5,108
4,422,0,81
4,423,0,9
4,424,1,66
4,425,3,55
4,426,4,0
4,428,14,22
4,429,0,36
4,430,7,30
4,431,1,5
4,432,6,18
4,433,2,0
4,434,40,1
4,435,20,18
4,436,23,0
4,437,39,41
4,438,1,3
4,439,0,32
4,440,1,126
4,441,148,0
4,442,31,19
4,443,98,37
4,444,11,7
4,445,0,60
4,446,36,22
4,447,0,76
4,448,0,16
4,449,13,36
4,450,8,32
4,451,47,1
4,452,2,2
4,453,59,25
4,454,0,89
4,455,0,58
4,456,0,43
4,457,23,52
4,459,21,12
4,460,14,75
4,461,103,2
4,462,0,62
4,463,46,0
4,464,0,464
4,465,0,21
4,466,49,6
4,467,0,48
4,468,24,10
4,469,5,16
4,470,0,26
4,471,27,47
4,472,0,3
4,473,11,2
4,474,5,15
4,475,1,31
4,477,23,1
4,478,0,16
4,479,13,59
4,480,33,0
4,481,40,4
4,482,0,6
4,483,16,62
4,484,2,0
4,485,0,116
4,486,25,2
4,487,0,11
4,488,1,48
4,490,19,1
4,491,6,0
4,492,123,0
4,493,0,2
4,494,0,33
4,496,37,7
4,497,0,169
4,498,12,62
4,499,1,7
4,500,85,2
4,501,0,72
4,502,2,75
4,503,0,13
4,504,0,219
4,505,15,14
4,506,0,23
4,507,56,0
4,508,20,295
4,509,70,0
4,510,56,26
4,511,19,124
4,512,16,13
4,513,1,55
4,515,5,25
4,516,5,94
4,517,14,0
4,518,0,188
4,519,0,6
4,520,0,17
4,521,16,33
4,522,1,108
4,523,106,15
4,524,3,87
4,525,9,34
4,526,3,12
4,527,0,2
4,528,0,17
4,529,26,39
4,530,1,29
4,531,0,39
4,532,1,30
4,533,1,58
4,534,227,5
4,535,0,65
4,536,0,104
4,537,21,93
4,538,50,22
4,539,54,31
4,540,12,14
4,541,18,44
4,542,100,3
4,543,0,34
4,544,12,122
4,545,149,0
4,546,4,45
4,547,5,21
4,548,37,0
4,549,0,24
4,550,1,68
4,551,9,0
4,552,0,63
4,553,250,2
4,554,3,53
4,555,0,12
4,556,0,83
4,557,9,19
4,558,0,15
4,559,0,68
4,560,100,86
4,561,0,92
4,562,0,162
4,563,0,73
4,564,0,29
4,565,22,115
4,566,0,50
4,567,254,3
4,568,9,7
4,569,0,17
4,570,0,75
4,571,67,38
4,572,0,28
4,573,0,142
4,574,0,79
4,575,4,0
4,576,0,185
4,577,1,55
4,578,0,85
4,579,6,7
4,580,233,173
4,581,62,36
4,582,88,109
4,583,33,110
4,584,0,6
4,585,0,2
4,586,0,26
4,587,0,36
4,588,117,0
4,589,2,44
4,590,5,78
4,591,0,12
4,592,19,16
4,593,0,9
4,594,0,49
4,595,19,39
4,596,23,96
4,597,0,92
4,598,1,69
4,599,2,42
4,600,1,66
4,601,0,33
4,602,70,10
4,603,58,183
4,604,2,28
4,605,2,68
4,606,1,8
4,607,0,68
4,608,0,4
4,609,83,0
4,610,22,41
4,611,0,48
4,612,2,5
4,613,16,1
4,614,90,0
4,615,4,117
4,616,0,62
4,617,23,101
4,618,116,52
4,619,5,76
4,620,0,78
4,621,93,1
4,622,0,8
4,623,2,15
4,624,1,8
4,625,90,10
4,626,2,30
4,627,4,62
4,628,0,8
4,629,5,119
4,630,0,77
4,631,1,15
4,632,0,22
4,633,0,18
4,634,2,0
4,635,13,12
4,636,0,58
4,637,76,15
4,638,27,11
4,639,80,6
4,640,6,37
4,641,14,56
4,642,0,57
4,643,11,35
4,644,0,26
4,645,0,2
4,646,2,16
4,647,4,69
4,648,0,47
4,649,0,46
4,650,12,22
4,651,0,34
4,652,18,43
4,653,107,20
4,654,21,33
4,655,55,0
4,656,0,111
4,657,99,32
4,658,0,41
4,659,0,4
4,660,20,41
4,661,0,174
4,662,63,11
4,663,2,111
4,664,1,32
4,665,6,13
4,666,28,2
4,667,164,8
4,668,0,66
4,669,0,16
4,670,5,68
4,671,0,20
4,672,0,49
4,673,0,87
4,674,14,41
4,675,20,27
4,676,17,103
4,677,5,24
4,678,19,21
4,679,0,11
4,680,0,12
4,681,12,124
4,682,0,75
4,683,0,13
4,684,0,48
4,686,2,27
4,687,7,29
4,688,36,0
4,689,0,3
